pid,round,cpu,wc,ram,logged,decided,agr_rounds,window_top,window_bot,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,80,19496,81484,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,81,19508,82485,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,82,19519,83485,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,83,19534,84486,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,84,19546,85487,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,85,19556,86488,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,86,19564,87488,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,87,19573,88489,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,88,19590,89496,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,89,19602,90499,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,90,19618,91499,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1718,0,50,50,50,0
5,91,19634,92500,5504,0,0,0,5152,5183,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1718,0,50,47,47,1
3,0,351,1035,4992,139,144,460,140,171,460,3521,3595,3521,9267,12400,515,421,0,9066,9954,421,421,442,23,85,10253,10010,10010,56
3,1,707,2040,5120,208,203,636,348,379,635,4805,4816,4806,12581,17188,653,660,0,12258,13688,660,721,233,418,30,13939,13684,13684,99
3,2,1128,3040,5120,215,219,592,563,594,592,4684,4680,4683,12331,17178,747,628,0,11869,13241,628,697,549,168,117,13751,13242,13242,107
3,3,1497,4057,5120,177,175,497,740,771,497,3996,3997,3996,10616,14576,746,714,0,10567,12056,714,730,190,154,21,12121,12159,12159,210
3,4,1875,5059,5248,219,221,580,959,990,580,4827,4801,4826,12762,17678,693,611,0,12748,14081,611,672,404,119,54,14116,13984,13984,113
3,5,2259,6061,5248,194,190,539,1153,1184,538,4301,4322,4301,11337,15522,642,741,0,11297,12727,741,642,479,264,47,12769,12697,12697,93
3,6,2575,7062,5376,125,128,373,1278,1309,373,2947,2926,2946,8185,11550,609,586,0,8664,9657,586,358,451,525,64,9424,9564,9564,0
3,7,2774,8079,5376,105,101,244,1383,1414,244,2101,2118,2101,5102,6873,446,394,0,5860,6856,394,553,501,692,99,5992,7000,7000,144
3,8,3144,9087,5376,198,198,528,1581,1612,528,4328,4328,4328,10622,14744,683,707,0,11452,12982,707,773,176,785,11,12062,12795,12795,4
3,9,3513,10094,5376,151,154,431,1732,1763,431,3509,3496,3509,9756,13454,538,539,0,9221,10323,539,517,267,698,47,10878,10526,10526,211
3,10,3886,11097,5376,192,192,501,1924,1955,501,4084,4069,4085,10794,14929,656,475,0,11181,12280,475,580,699,527,82,11953,12753,12753,684
3,11,4264,12138,5376,184,186,530,2108,2139,530,4276,4283,4276,10987,15268,657,618,0,11328,12729,618,728,238,884,28,12105,11872,11872,26
3,12,4679,13145,5376,205,200,608,2313,2341,608,4615,4641,4615,12200,16790,579,618,0,11882,13125,618,579,269,848,57,13446,13155,13155,111
3,13,5057,14155,5376,194,198,524,2507,2538,524,4397,4352,4396,11303,15742,658,541,0,11761,13009,541,658,362,776,50,12547,12879,12879,98
3,14,5464,15161,5376,207,201,550,2714,2745,550,4378,4383,4378,11934,16280,684,528,0,12025,13237,528,635,557,906,85,13196,13215,13215,168
3,15,5854,16165,5376,192,189,563,2906,2937,563,4379,4378,4379,11371,15773,587,487,0,11091,12261,487,636,253,952,37,12490,12116,12116,47
3,16,6240,17180,5376,213,213,567,3119,3150,567,4588,4584,4588,12022,16639,703,612,0,11787,13140,612,693,365,819,41,13380,13198,13198,127
3,17,6590,18184,5376,179,181,484,3298,3328,485,3837,3843,3838,10051,13950,555,589,0,10371,11562,589,555,176,959,14,11228,11441,11441,105
3,18,7030,19186,5376,128,125,366,3426,3457,365,2839,2839,2838,7546,10377,453,519,0,7474,8488,519,453,246,1103,32,8563,8419,8419,36
3,19,7381,20193,5376,102,109,301,3528,3559,301,2296,2305,2296,6304,8622,366,335,0,5990,6724,335,355,107,1249,21,7050,6737,6737,69
3,20,7768,21200,5376,188,181,534,3716,3747,534,4305,4310,4305,11326,15564,656,604,0,11207,12513,604,656,381,1071,72,12631,12532,12532,88
3,21,8142,22211,5376,192,192,528,3908,3938,528,4062,4041,4063,11303,15341,657,648,0,11076,12406,648,633,265,1411,36,12640,12347,12347,29
3,22,8526,23215,5376,187,187,542,4095,4126,542,4252,4273,4251,11057,15493,685,556,0,11128,12439,556,709,220,1223,26,12337,12329,12329,12
3,23,8911,24223,5376,201,201,599,4296,4327,599,4640,4661,4640,12216,16713,639,582,0,12602,13819,582,586,450,1194,53,13482,13815,13815,8
3,24,9308,25231,5376,185,191,510,4481,4507,510,4168,4110,4169,11018,15311,562,613,0,11000,12234,613,576,278,1268,39,12243,12735,12735,512
