pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,beb_s,beb_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
3,77,28728,83671,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,78,28736,84671,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,79,28742,85672,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,80,28749,86673,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,81,28755,87673,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,82,28761,88674,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,83,28771,89675,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,84,28778,90676,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,85,28784,91677,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,86,28792,92677,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,87,28800,93678,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,88,28807,94679,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,89,28813,95679,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
3,90,28834,96680,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23759,0,0,0,0,0
1,0,313,3264,4352,256,2048,4096,256,512,1280,512,5370,5882,4,4,0,697,705,4,4,0,0,0,5378,705,705,0
1,1,946,6088,4480,0,0,1448,0,174,0,174,1192,1192,3,3,0,233,238,3,2,56,142,1,976,362,362,131
1,2,1394,7398,4608,256,2048,7432,138,534,691,534,4239,5215,10,18,0,1470,1498,18,10,21,371,1,4196,785,785,2
1,3,1759,9222,4864,256,2048,13648,0,1281,0,1281,5867,7236,23,19,0,2789,2825,19,17,256,344,1,3715,2177,2177,4
1,4,1916,10229,4992,0,0,8192,0,1024,0,1024,768,983,21,13,0,2910,2933,13,10,125,775,1,749,4012,2951,22
1,5,2306,11261,5120,768,6144,23128,768,2890,3840,2891,10318,13610,42,27,0,4073,4122,27,22,407,142,5,10386,8473,6143,2044
1,6,2551,12268,5120,512,4096,26192,512,3274,2560,3274,2939,4803,34,19,0,5522,5564,19,23,423,144,6,2967,4985,3835,315
1,7,2977,13296,5248,512,4096,26192,512,3274,2560,3274,11160,14437,70,40,0,5744,5816,40,32,541,168,9,11122,8538,6002,917
1,8,3280,14325,5248,512,4096,26192,512,3274,2560,3274,9968,12418,76,39,0,5757,5833,39,37,929,146,10,10036,9023,6539,1873
1,9,3579,15330,5376,768,6144,28984,768,3624,3840,3623,7492,10871,65,55,0,7435,7541,54,51,874,1357,5,7609,8395,6746,1085
1,10,3940,16350,5376,722,5776,36576,722,4571,3610,4571,12454,16137,47,58,0,9315,9403,59,30,544,2364,8,12510,11269,8460,180
1,11,4298,17367,5376,814,6512,39208,814,4900,4070,4901,9995,13847,73,84,0,7908,8051,84,59,736,2821,6,10152,8456,8054,224
1,12,4672,18385,5376,768,6144,33144,768,4144,3840,4143,13139,17849,48,49,0,8034,8111,49,28,869,2911,6,13192,9619,8094,242
1,13,5071,19389,5376,1280,10240,38496,1280,4812,6400,4812,13478,19631,74,57,0,9431,9552,57,64,428,3025,6,13609,10467,9532,222
1,14,5356,20446,5376,256,2048,6936,256,866,1280,867,7044,7671,46,9,0,1273,1288,9,6,500,3025,5,7099,4728,3110,2044
1,15,5673,21475,5376,512,4096,39960,512,4996,2560,4995,7544,11224,44,52,0,9974,10070,52,44,675,3952,6,7126,8725,8137,111
1,16,6091,22484,5376,1280,10240,38616,1280,4826,6400,4827,15201,21028,52,46,0,9485,9569,46,38,417,4466,5,15298,11467,10108,669
1,17,6453,23508,5504,768,6144,26192,768,3274,3840,3274,9763,13620,49,32,0,5244,5303,32,27,159,4466,5,9734,7975,6470,1934
1,18,6750,24526,5504,512,4096,26160,512,3270,2560,3270,10098,12319,46,20,0,6113,6161,20,28,298,4547,3,10118,7205,5370,1166
1,19,7207,25782,5504,512,4096,25312,512,3164,2560,3164,10426,13522,55,31,0,5152,5214,31,31,551,4710,7,7349,6343,5140,1970
1,20,7526,26789,5504,512,4096,37024,512,4629,2560,4628,10304,12914,67,37,0,10374,10466,37,55,991,5785,9,10391,10660,8727,248
1,21,7879,27798,5504,768,6144,34752,768,4344,3840,4344,10487,14573,65,36,0,9656,9739,36,47,167,6501,5,10588,10804,9519,88
1,22,8307,28804,5504,1024,8192,26432,1024,3303,5120,3304,13001,17213,80,23,0,5874,5921,23,24,1120,5567,10,13104,10171,7873,2044
1,23,8956,30369,5504,1280,10240,23816,1280,2977,6400,2977,19418,26294,106,59,0,6848,6955,59,48,364,6744,2,14217,5191,5043,132
1,24,9313,31386,5504,768,6144,31248,768,3907,3840,3906,11272,15372,46,53,0,8118,8203,53,32,15,7883,1,10899,8596,7817,2
1,25,9655,32406,5504,768,6144,40216,768,5026,3840,5027,10254,14028,56,31,0,8263,8324,31,30,800,6902,5,10341,10972,8680,365
1,26,10025,33412,5632,768,6144,33504,768,4189,3840,4188,12033,15815,59,34,0,8154,8220,34,32,506,7600,7,12110,11151,7840,21
1,27,10463,34419,5632,1280,10240,37920,1280,4739,6400,4740,14913,21072,51,47,0,8571,8655,47,37,474,7328,5,15011,12131,9994,1360
1,28,10874,35435,5632,1024,8192,37040,1024,4631,5120,4630,12216,16855,63,56,0,9590,9683,56,37,269,9461,6,12289,10646,8351,84
1,29,11270,36443,5632,768,6144,34384,768,4297,3840,4298,9728,14069,56,44,0,7054,7134,44,36,706,8739,10,9828,9623,8197,1314
1,30,11649,37463,5632,1024,8192,38792,1024,4850,5120,4849,13426,18595,70,41,0,10003,10085,41,41,745,8978,7,13500,11787,8950,212
