pid,round,cpu,wc,ram,m_cmpsd,seq_nr,log_r,pf_s,pf_r,sent,s_cyc,ack_s,ack_r,ack_cyc,recv,recvtot,aas,aar,lookup_size,acked_size,p_acks_size,fl_s,fl_r,fl_rq,msgs_in_q
5,11,1196,12059,4864,3840,30720,0,3840,0,12839,16816,0,23,0,0,23,23,0,0,8209,0,12606,26,26,3
5,12,1317,13059,4864,4096,32768,0,4096,0,14127,18188,0,28,0,0,28,28,0,0,10098,0,14155,25,25,0
5,13,1421,14064,5120,3072,24576,0,3072,0,10625,13708,0,27,0,0,27,27,0,0,10847,0,10652,27,27,0
5,14,1521,15066,5120,3584,28672,0,3584,0,11253,14747,0,20,0,0,20,20,0,0,10972,0,11273,20,20,0
5,15,1670,16067,5120,4291,34328,0,4291,0,13525,18318,0,34,0,0,34,34,0,0,13027,0,13559,34,34,0
5,16,1857,17075,5120,5693,45544,0,5693,0,16650,21853,0,21,0,0,21,21,0,0,13235,0,16671,22,22,1
5,17,2218,18076,5120,6912,55296,0,6912,0,19471,26428,0,11,0,0,11,11,0,0,13313,0,19482,11,11,1
5,18,2301,19076,5120,1060,8480,0,1060,0,2934,4851,0,3,0,0,3,3,0,0,13224,0,2937,2,2,0
5,19,2307,20077,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,20,2314,21077,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,21,2318,22077,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,22,2322,23078,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,23,2331,24079,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,24,2335,25079,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
5,25,2340,26079,5120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13224,0,0,0,0,0
